17	76870
17	78799
17	77440
17	80146
17	2
17	214023
17	317448
17	334185
17	294124
17	96319
302	74406
302	76709
302	78930
302	10
302	332008
302	478674
302	317091
302	288417
302	333399
302	293915
302	75231
302	486540
302	270085
302	482110
302	266864
302	222206
302	593952
302	464393
379	78029
379	94123
379	117240
379	594049
379	568745
379	483276
407	78538
407	76158
407	618507
407	107694
407	625843
768	78075
768	75672
768	322982
768	331894
768	568745
819	79166
819	297296
819	588595
819	610638
819	249063
819	228253
819	435503
1116	81600
1116	2
1116	592119
1116	288584
1116	483276
1116	368628
1116	591240
1116	551334
1116	481257
1116	260696
1116	443211
1116	294046
1116	297036
1698	80954
1698	2
1698	606797
1761	80901
1761	81590
1761	74058
1761	2
1761	621924
1761	298465
1761	112420
1761	325103
1761	111258
1761	82610
1838	78666
1838	328155
1838	616076
2016	80209
2016	76446
2016	76342
2016	81672
2016	2
2016	542052
2016	189667
2016	283522
2016	613132
2016	326992
2163	78674
2163	74130
2163	77518
2163	2
2163	222973
2163	282555
2163	602621
2163	118214
2998	77207
2998	78416
2998	295170
3224	77075
3224	83227
3224	75833
3224	2
3224	239887
3239	82627
3239	79976
3239	80071
3239	2
3239	77001
3239	316895
3461	75108
3461	9
3461	84929
3461	96872
3461	300136
3461	145617
3516	78447
3516	165896
3516	373318
3516	617364
3516	268482
3516	297498
3516	612166
3747	76087
3747	81675
3747	2
3747	538565
3747	608374
3922	82900
3922	74166
3922	82671
3922	2
3922	120106
3922	313022
3922	304783
3922	626199
3922	365658
3922	236373
4077	79991
4077	2
4077	591291
4077	219966
4077	233454
4077	509116
4077	121427
4077	621665
4077	523119
4137	76952
4137	2
4137	252040
4137	82354
4137	591728
4453	81730
4453	79378
4453	10
4453	438406
4453	252793
4453	85888
4453	447718
4621	75568
4621	75186
4621	383441
4621	594183
4670	78001
4670	76251
4670	74688
4670	314219
4805	81070
4805	77607
4805	622359
4805	291891
4805	87698
4805	599551
4811	77232
4811	81065
4811	333611
4811	626590
4811	233658
4811	237241
4811	222047
4811	310456
5221	79328
5221	77890
5221	79197
5221	2
5221	95864
5221	79534
5221	433307
5519	81578
5519	79934
5519	75724
5519	235668
5519	264103
5519	270969
5519	143166
5519	610638
5660	75466
5660	79153
5660	74887
5660	84152
5660	242710
5756	74661
5756	282502
5756	300050
6037	307961
6037	306733
6037	232465
6037	315559
6040	81776
6040	2
6040	612784
6040	611683
6313	74559
6410	80747
6410	10
6410	598717
6410	286578
6410	317286
6720	80735
6720	2
6720	263778
6720	383965
6720	542404
6720	603191
6940	75275
6940	2
6940	84176
6940	441339
6940	320403
6940	613609
6940	590946
6940	282511
6940	536566
7067	79815
7067	82549
7067	81665
7067	77443
7067	107365
7067	273816
7067	124564
7593	80430
7593	81829
7593	2
7593	603912
7593	248496
7593	315559
8011	621033
8465	80017
8465	80574
8465	280106
8548	160316
8548	300633
8548	222973
8652	76650
8652	74455
8652	77604
8652	74652
8652	77196
8652	2
8652	123672
8652	227218
8652	372785
8652	228136
8858	75642
8858	2
8858	75333
8858	602963
8858	219966
8858	472172
8858	233639
8858	282501
8858	624503
8858	105391
8858	525970
9298	76424
9298	10
9298	249971
9298	553970
9298	606165
9298	441024
9298	112718
9298	463397
9298	596931
9298	520101
9298	288809
9304	82087
9304	81815
9304	2
9304	162995
9304	285915
9594	82265
9594	74250
9594	231951
9594	112878
9594	122555
9658	80288
9658	80601
9658	82731
9658	316264
9658	448228
9658	447658
9658	614741
10086	76836
10086	74643
10086	82599
10086	323516
10086	568745
10086	162995
10086	483276
11193	2
11193	322982
11193	323516
11193	159610
11193	317448
11193	157539
12022	79913
12022	77273
12022	2
12022	77001
12022	82645
12785	83036
12785	2
12785	253959
12785	621684
12785	294190
12785	266063
12785	97436
12831	75772
12831	76407
12831	77093
12831	569211
12831	375265
12831	240529
12831	334370
12831	243354
12831	293732
12831	184117
12831	379657
12831	557181
12831	438914
13063	77049
13063	79361
13063	2
13063	322890
13063	222047
13063	612587
13108	79295
13108	74954
13108	74703
13108	2
13108	253472
13108	609619
13148	2
13148	361109
13148	334185
13148	279782
13303	81023
13303	79336
13303	74351
